timestamp,temp,pressure,cloudiness,humidity_relative
2024-05-22T11:00:00,15.49,993,6.16,80
2024-05-22T12:00:00,15.49,989,6.32,80
2024-05-22T13:00:00,15.89,993,6.4,78
2024-05-22T14:00:00,16.87,996,6.32,71
2024-05-22T15:00:00,17.36,1000,4.32,69
2024-05-22T16:00:00,17.35,1004,5.2,70
2024-05-22T17:00:00,17.38,1009,4.72,72
2024-05-22T18:00:00,16.92,1009,4.08,70
2024-05-22T19:00:00,16.55,1010,3.36,72
2024-05-22T20:00:00,15.59,1010,2.88,76
2024-05-22T21:00:00,14.03,1010,0.32,81
2024-05-22T22:00:00,12.73,1011,0.32,86
2024-05-22T23:00:00,11.64,1012,0.24,92
2024-05-23T00:00:00,11.16,1012,0.32,93
2024-05-23T01:00:00,10.61,1012,0.32,96
2024-05-23T02:00:00,10.36,1012,0.24,97
2024-05-23T03:00:00,10.28,1012,0.8,98
2024-05-23T04:00:00,10.32,1012,2.32,98
2024-05-23T05:00:00,11.38,1013,3.44,92
2024-05-23T06:00:00,11.67,1013,3.36,91
2024-05-23T07:00:00,11.93,1013,3.04,93
2024-05-23T08:00:00,13.06,1014,2.64,89
2024-05-23T09:00:00,14.48,1014,4.08,84
2024-05-23T10:00:00,15.43,1015,5.04,76
2024-05-23T11:00:00,16.42,1015,4.8,72
2024-05-23T12:00:00,16.54,1015,5.36,72
2024-05-23T13:00:00,16.57,1015,5.6,72
2024-05-23T14:00:00,17.1,1015,5.6,67
2024-05-23T15:00:00,17.17,1015,6.4,67
2024-05-23T16:00:00,17.27,1016,6.48,67
2024-05-23T17:00:00,17.2,1016,5.76,66
2024-05-23T18:00:00,16.7,1016,5.36,69
2024-05-23T19:00:00,16.59,1016,5.44,67
2024-05-23T20:00:00,16.23,1016,5.04,72
2024-05-23T21:00:00,14.24,1017,1.28,81
2024-05-23T22:00:00,12.42,1017,0.8,86
2024-05-23T23:00:00,11.68,1018,0.72,89
2024-05-24T00:00:00,11.13,1018,0.56,91
2024-05-24T01:00:00,10.61,1018,0.56,92
2024-05-24T02:00:00,10.15,1018,0.4,93
2024-05-24T03:00:00,9.6,1018,0.24,94
2024-05-24T04:00:00,9.25,1018,0.56,94
2024-05-24T05:00:00,8.91,1018,1.04,94
2024-05-24T06:00:00,8.85,1018,1.68,94
2024-05-24T07:00:00,9.99,1019,1.76,91
2024-05-24T08:00:00,12,1019,1.44,84
2024-05-24T09:00:00,13.67,1020,2.56,79
2024-05-24T10:00:00,14.76,1020,3.44,75
